County|Voting unit|Q1: Yes|Q2: No|Q2: Yes|Q2: No 2|Q3: Yes|Q3: No|Q4: Yes|Q4: No
Somerset|Fairfield|229|926|590|566|754|400|648|472
Cumberland|Falmouth|452|3672|2802|1323|3375|735|2928|1057
Kennebec|Farmingdale|98|583|400|280|513|165|446|220
Franklin|Farmington|242|1126|853|518|1017|358|887|436
Kennebec|Fayette|50|308|183|177|225|133|181|174
Aroostook|Fort Fairfield|122|540|319|340|442|216|384|266
Aroostook|Fort Kent|169|627|440|360|626|173|476|294
Waldo|Frankfort|30|200|97|133|143|87|103|120
Hancock|Franklin|36|302|164|176|215|121|192|136
Franklin|Franklin Cty Townships|0|0|0|0|0|0|0|0
Waldo|Freedom|27|157|106|79|132|51|114|62
Cumberland|Freeport|313|2558|2034|833|2226|629|1990|731
Hancock|Frenchboro|4|8|10|2|9|3|5|7
Aroostook|Frenchville|59|195|118|135|191|61|117|132
Knox|Friendship|49|277|155|172|209|117|178|135
Cumberland|Frye Island|15|17|21|11|26|6|26|6
Oxford|Fryeburg|109|523|384|250|470|162|378|232
Kennebec|Gardiner|231|1049|787|498|919|362|780|462
Aroostook|Garfield Plt.|2|21|14|9|14|9|10|13
Penobscot|Garland|44|188|104|128|141|91|116|116
Sagadahoc|Georgetown|41|380|281|141|327|93|271|133
Oxford|Gilead|6|48|29|25|36|18|26|27
Penobscot|Glenburn|82|894|429|545|607|362|555|403
Aroostook|Glenwood Plt.|0|0|0|0|0|0|0|0
Cumberland|Gorham|861|3346|2459|1738|3060|1127|2632|1389
Hancock|Gouldsboro|45|442|289|197|365|120|319|147
Aroostook|Grand Isle|27|63|49|41|68|22|49|41
Washington|Grand Lake Stream Plt|8|47|15|40|34|21|18|36
Cumberland|Gray|335|1690|1066|954|1353|663|1238|739
Hancock|Great Pond|4|18|11|11|13|9|15|7
Penobscot|Greenbush|19|225|83|161|114|127|96|133
Androscoggin|Greene|171|843|371|640|580|432|513|476
Piscataquis|Greenville|78|411|237|251|316|175|260|220
Oxford|Greenwood|27|215|137|104|166|74|138|96
Piscataquis|Guilford|39|261|121|180|188|112|152|140
Kennebec|Hallowell|112|858|746|203|813|133|730|182
Aroostook|Hamlin|9|29|18|21|29|10|22|17
Aroostook|Hammond|2|21|12|10|15|7|11|10
Penobscot|Hampden|171|1726|989|903|1322|571|1231|614
Hancock|Hancock|54|437|279|213|358|132|305|166
Hancock|Hancock Cty Townships|0|0|0|0|0|0|0|0
Oxford|Hanover|14|73|47|40|66|21|50|34
Somerset|Harmony|38|143|69|112|98|82|71|104
Cumberland|Harpswell|206|1622|1257|572|1501|315|1253|500
Washington|Harrington|22|162|75|110|128|57|105|79
Cumberland|Harrison|76|580|345|307|417|236|372|258
Oxford|Hartford|22|223|111|132|145|100|112|124
Somerset|Hartland|57|278|117|216|173|161|132|199
Aroostook|Haynesville|9|12|8|13|10|11|5|16
Oxford|Hebron|31|287|159|159|192|123|162|140
Penobscot|Hermon|120|1150|490|780|787|475|722|529
Aroostook|Hersey|2|13|3|12|9|6|7|8
Somerset|Highland Plt.|8|50|18|40|24|33|25|33
Oxford|Hiram|59|207|140|123|174|90|142|116
Aroostook|Hodgdon|34|253|92|197|146|139|138|142
Penobscot|Holden|58|804|387|474|532|328|519|327
York|Hollis|310|859|607|561|810|348|668|465
Knox|Hope|62|445|311|196|363|140|320|172
Aroostook|Houlton|352|1156|783|722|1042|450|850|576
Penobscot|Howland|48|218|128|140|175|91|129|129
Penobscot|Hudson|22|250|93|178|148|123|125|140
Washington|Indian Township Vtng Dst|11|80|82|9|61|21|39|39
Franklin|Industry|48|162|120|89|137|73|122|83
Aroostook|Island Falls|37|168|100|108|139|67|94|112
Knox|Isle Au Haut|1|40|36|4|36|4|25|10
Waldo|Islesboro|19|182|155|47|163|38|142|51
Somerset|Jackman|38|167|58|146|111|93|88|110
Waldo|Jackson|14|123|77|61|86|52|77|58
Franklin|Jay|222|810|532|496|653|371|526|487
Lincoln|Jefferson|89|619|339|370|466|240|393|294
Washington|Jonesboro|15|110|65|60|88|37|72|48
Washington|Jonesport|23|171|93|102|131|65|93|97
Penobscot|Kenduskeag|25|244|105|165|151|118|121|143
York|Kennebunk|537|3239|2513|1249|3052|680|2736|880
York|Kennebunkport|170|1223|941|445|1137|249|988|340
Franklin|Kingfield|55|303|190|170|271|88|209|137
Piscataquis|Kingsbury Plt.|1|2|2|1|3|0|2|1
York|Kittery|376|2721|2239|844|2460|582|2159|732
Waldo|Knox|30|176|90|119|93|115|71|130
Penobscot|Lagrange|19|111|66|65|80|49|63|66
Piscataquis|Lake View Plt.|3|20|8|15|18|5|15|6
Penobscot|Lakeville|4|22|17|9|21|5|19|7
Hancock|Lamoine|50|531|331|254|430|152|354|216
York|Lebanon|328|718|501|545|687|355|555|466
Penobscot|Lee|31|175|82|123|120|83|92|106
Androscoggin|Leeds|62|398|197|260|262|196|224|228
Penobscot|Levant|50|469|159|359|283|235|250|266
Androscoggin|Lewiston|2085|7900|5847|4332|6665|3303|5218|4295
Waldo|Liberty|35|212|155|92|185|60|166|76
York|Limerick|221|479|381|316|473|227|365|306
Aroostook|Limestone|75|252|149|177|248|79|184|137
York|Limington|182|567|381|369|454|299|382|354
Penobscot|Lincoln|149|838|403|858|631|354|482|486
Oxford|Lincoln Plt.|4|13|8|9|12|5|8|9
Waldo|Lincolnville|69|630|488|213|543|154|475|195
Aroostook|Linneus|27|144|71|98|109|61|86|81
Androscoggin|Lisbon|427|1632|1012|1050|1326|729|1064|925
Kennebec|Litchfield|111|693|401|399|507|295|432|354
Aroostook|Littleton|37|181|87|132|129|89|104|109
Androscoggin|Livermore|90|504|256|336|318|274|277|295
Androscoggin|Livermore Falls|114|378|254|238|308|180|287|238
Cumberland|Long Island|23|91|80|35|93|21|78|31
Oxford|Lovell|42|268|188|122|232|75|185|109
Penobscot|Lowell|18|86|30|74|52|51|35|66
Washington|Lubec|47|348|251|144|311|80|252|126
